Year,Income,Property Value,Cumulative Income,Equity,Net PNL If Sold (incl cum income + tax shield)
2017,3167,67362500,3167,8801542,-11163792
2018,984,66725000,4151,9617539,-9709311
2019,-1223,66087500,2928,10448138,-8242435
2020,-3450,65450000,-522,11293486,-6763037
2021,-5700,64812500,-6222,12153730,-5270993
2022,-7973,64175000,-14195,13029021,-3766175
2023,-10268,63537500,-24463,13919508,-2248456
2024,-12587,62900000,-37050,14825346,-717705
2025,-14929,62262500,-51979,15746689,826209
2026,-17295,61625000,-69274,16683691,2383416
2027,-19684,60987500,-88958,17636511,3954052
2028,-22097,60350000,-111055,18605307,5538251
2029,-24535,59712500,-135590,19590239,7136148
2030,-26997,59075000,-162587,20591471,8747883
2031,-29483,58437500,-192070,21609165,10373594
2032,-31995,57800000,-224065,22643488,12013422
2033,-34531,57162500,-258596,23694605,13667508
2034,-37094,56525000,-295690,24762686,15335995
2035,-39682,55887500,-335372,25847902,17019029
2036,-42296,55250000,-377668,26950423,18687350
2037,-44937,54612500,-422605,28070425,20269737
2038,-46725,53975000,-469330,29208083,21873952
2039,-49401,53337500,-518731,30363574,23490042
2040,-52102,52700000,-570833,31537077,25121443
2041,-54831,52062500,-625664,32728774,26768309
2042,-57588,51425000,-683252,33938846,28430793
2043,-60372,50787500,-743624,35167479,30109054
2044,-63184,50150000,-806808,36414859,31803250
2045,-66024,49512500,-872832,37681175,33513542
2046,-68893,48875000,-941725,38966616,35240090
2047,-71791,48237500,-1013516,40271375,36983058
2048,-74718,47600000,-1088234,41595646,38742611
2049,-173299,47600000,-1261533,43577125,40550791
2050,-176284,47600000,-1437817,45578510,42375892
2051,-179301,47600000,-1617118,47600000,44218081
2052,1851511,47600000,234393,47600000,46069592
2053,1851511,47600000,2085904,47600000,47921103
2054,1851511,47600000,3937415,47600000,49772614
2055,1851511,47600000,5788926,47600000,51624125
2056,1851511,47600000,7640437,47600000,53475636
