Year,Income,Property Value,Cumulative Income,Equity,Net PNL If Sold (incl cum income + tax shield)
2017,-305884,67362500,-305884,8801542,-11472843
2018,-312201,66725000,-618085,9617539,-10331547
2019,-318581,66087500,-936666,10448138,-9182029
2020,-325025,65450000,-1261691,11293486,-8024206
2021,-331535,64812500,-1593226,12153730,-6857997
2022,-338108,64175000,-1931334,13029021,-5683314
2023,-344748,63537500,-2276082,13919508,-4500075
2024,-351455,62900000,-2627537,14825346,-3308192
2025,-358230,62262500,-2985767,15746689,-2107579
2026,-365073,61625000,-3350840,16683691,-898150
2027,-371983,60987500,-3722823,17636511,320187
2028,-378964,60350000,-4101787,18605307,1547519
2029,-386015,59712500,-4487802,19590239,2783936
2030,-393135,59075000,-4880937,20591471,4029533
2031,-400329,58437500,-5281266,21609165,5284398
2032,-407595,57800000,-5688861,22643488,6548626
2033,-414932,57162500,-6103793,23694605,7822311
2034,-422344,56525000,-6526137,24762686,9105548
2035,-429831,55887500,-6955968,25847902,10398433
2036,-437392,55250000,-7393360,26950423,11671658
2037,-445030,54612500,-7838390,28070425,12853952
2038,-367132,53975000,-8205522,29208083,14137760
2039,-374799,53337500,-8580321,30363574,15428452
2040,-382546,52700000,-8962867,31537077,16729409
2041,-390368,52062500,-9353235,32728774,18040738
2042,-398270,51425000,-9751505,33938846,19362540
2043,-406252,50787500,-10157757,35167479,20694921
2044,-414312,50150000,-10572069,36414859,22037989
2045,-422455,49512500,-10994524,37681175,23391850
2046,-430678,48875000,-11425202,38966616,24756613
2047,-438985,48237500,-11864187,40271375,26132387
2048,-447375,47600000,-12311562,41595646,27519283
2049,-729974,47600000,-13041536,43577125,28770788
2050,-738534,47600000,-13780070,45578510,30033639
2051,-747179,47600000,-14527249,47600000,31307950
2052,1280561,47600000,-13246688,47600000,32588511
2053,1280561,47600000,-11966127,47600000,33869072
2054,1280561,47600000,-10685566,47600000,35149633
2055,1280561,47600000,-9405005,47600000,36430194
2056,1280561,47600000,-8124444,47600000,37710755
